Pair: H3K36me3_H3K9me3
Median R2: E120 - 0.0028000849301742514
Max R2: E022 - 0.13386038672024325
Min R2: E013 - 7.567678461661842e-08
All R2 values:
E126 - 0.009046474950894168
E074 - 0.011470876021382748
E063 - 2.585314428649177e-06
E121 - 0.0019328735679728926
E073 - 0.008255164095986145
E054 - 0.006248585242152105
E043 - 7.806608604099541e-05
E111 - 0.00019114700177869093
E106 - 0.002273717389678964
E053 - 0.005801956507639927
E044 - 0.00015149526761826237
E116 - 0.011186728406472723
E101 - 3.243104760097815e-05
E024 - 0.0067869030361568106
E033 - 1.2205304776413683e-05
E023 - 0.00024370302984144665
E034 - 0.00040245614339640134
E004 - 0.0870057080114679
E013 - 7.567678461661842e-08
E003 - 0.009725026972821627
E014 - 6.122610795877836e-05
E110 - 0.023693810000375626
E107 - 0.04134054119327857
E055 - 0.002891062269298139
E042 - 0.0006525663248252433
E117 - 0.009131940714008802
E100 - 0.017039039357556685
E052 - 0.0027023364849503295
E045 - 0.002042915937061407
E075 - 0.0025701728636856602
E062 - 5.8885574788614115e-05
E127 - 6.318553280248995e-05
E072 - 0.004192133108898655
E065 - 0.023428729709437546
E120 - 0.0028000849301742514
E005 - 0.0177207154141672
E012 - 0.017019197869506786
E002 - 0.03719637422771227
E015 - 0.00034751308445402085
E025 - 0.000292418209034917
E032 - 0.00012711572926638048
E022 - 0.13386038672024325
E035 - 0.000418511025978785
E018 - 0.006822798915224859
E008 - 0.007810934612564435
E090 - 0.00020822875136639052
E087 - 0.01822949862961376
E038 - 0.010009959776589361
E097 - 0.01666244516956028
E080 - 0.0001502648464976053
E028 - 0.0019761222877413553
E048 - 0.018224722119199344
E058 - 0.0005743628819714353
E068 - 0.0015812844207561128
E078 - 0.00040391284995111576
E039 - 0.0011877368537696054
E091 - 0.0002805666751177771
E086 - 0.03216367770278883
E029 - 0.00022717757893042645
E096 - 0.011942359389036872
E081 - 0.014687063159394609
E019 - 0.0003627851658941639
E009 - 0.03617379678532484
E069 - 0.007024319805769452
E079 - 0.023165985938276346
E049 - 0.0004949726795507869
E059 - 0.05777460669142931
E094 - 0.03223688740204311
E083 - 0.0246400898696858
E093 - 0.002862332927295319
E084 - 0.00022519865846648557
E129 - 0.0001964741347038057
E109 - 0.003885800490329161
E119 - 0.0009183727587570578
E095 - 0.0033653756620357633
E082 - 0.00489966560515831
E092 - 0.00035306346699148783
E085 - 0.0037475848000996237
E108 - 0.0006756286305991122
E118 - 0.0036283472023017627
E128 - 0.003709839417534999
E050 - 0.002256398666016457
E047 - 0.010905447548189007
E115 - 0.0002780700725925067
E102 - 8.872213193977796e-05
E057 - 5.614434606049379e-05
E040 - 0.01800357201120717
E112 - 0.05033209598363586
E105 - 0.0036275510121497323
E122 - 7.624137006057019e-06
E070 - 0.0064340872718984254
E067 - 0.013410825207147314
E125 - 0.001960693889048959
E077 - 6.894514535837892e-05
E017 - 5.5404175015927315e-05
E007 - 0.07097248359396457
E010 - 0.04340815180866242
E088 - 0.008313878947183384
E020 - 0.0007103208515836235
E037 - 0.011631622830603261
E098 - 0.0415470836443772
E027 - 0.0006816150023017942
E030 - 5.8111985526632104e-05
E071 - 0.001972914795651537
E066 - 0.0003150272989582703
E123 - 0.0066155965517430415
E076 - 0.011088141641055538
E061 - 9.187833392498845e-05
E124 - 3.785748644347109e-06
E114 - 0.005754462990565146
E103 - 0.0024792525342515193
E051 - 0.002364854685609097
E046 - 0.0006670580671767068
E113 - 0.010373337788164294
E104 - 0.014773729790676371
E056 - 0.0007262884661468627
E041 - 0.00014736251790237187
E021 - 0.03593579068952024
E036 - 0.0005839237010406562
E089 - 0.00026398621587375715
E026 - 1.5912448713129024e-06
E031 - 0.019687042850168646
E099 - 0.004853119944346007
E001 - 0.029646957106501004
E016 - 0.0004028193015440662
E006 - 0.002697557701879516
E011 - 0.007768847469366236
