Pair: DNase_H3K27me3
Median R2: E032 - 0.0012230922921990794
Max R2: E100 - 0.11382002914059963
Min R2: E119 - 1.6853820561379962e-09
All R2 values:
E128 - 1.6225080326282004e-05
E008 - 0.005725813940188562
E005 - 0.008780466557913646
E100 - 0.11382002914059963
E081 - 0.0011251467419450822
E125 - 2.5209711950302527e-05
E090 - 0.004216036469191664
E051 - 0.002475018518392269
E033 - 5.005336430219387e-05
E092 - 0.020380644960671046
E022 - 0.0023777740938244474
E083 - 0.0008391593305679956
E127 - 0.00041804405968592917
E007 - 0.04030234351130302
E004 - 0.00046218061351332995
E091 - 0.012530745737289073
E124 - 0.001281260111399285
E080 - 0.0013264828859262945
E021 - 0.002140428990768828
E126 - 0.0007699756591404983
E082 - 0.011918048091159261
E050 - 0.014872564970882629
E032 - 0.0012230922921990794
E093 - 0.0027270125145925084
E006 - 4.55266193128967e-05
E017 - 8.355418175987062e-05
E119 - 1.6853820561379962e-09
E098 - 0.03579528027621748
E028 - 0.00030732124352428336
E089 - 0.00083167283434471
E056 - 0.0006882858708945339
E034 - 0.001732258755363203
E084 - 0.006229424467517397
E120 - 0.0007571258619740728
E114 - 3.0298207919221554e-06
E116 - 0.0010043575724936193
E086 - 0.001405983345888262
E122 - 1.8126619163560953e-05
E097 - 0.0404260586159777
E059 - 0.009259649034884965
E109 - 0.0044064875546772075
E118 - 0.000657996957232454
E029 - 0.00038021560059620096
E088 - 0.00020439185004805793
E121 - 0.0003687204115538911
E046 - 0.00012520565662132999
E085 - 0.0029519937663428086
E057 - 5.485010338557306e-05
E094 - 0.10878587321731037
E117 - 0.00012557632191334545
E003 - 0.0026502847157789944
E055 - 0.0031548057909215332
E123 - 0.0003152013746847704
