Pair: DNase_H3K9ac
Median R2: E119 - 0.02144569204585889
Max R2: E083 - 0.09561302656836579
Min R2: E005 - 0.006187560073231291
All R2 values:
E128 - 0.006299257306227712
E008 - 0.026382911172048495
E005 - 0.006187560073231291
E125 - 0.01898213579338426
E083 - 0.09561302656836579
E127 - 0.013730993842051675
E007 - 0.04816928345263105
E004 - 0.020303993469585002
E124 - 0.0415249701119621
E126 - 0.014047869659517431
E006 - 0.017024419173684024
E017 - 0.0073315243337263025
E119 - 0.02144569204585889
E120 - 0.017826547813139748
E114 - 0.021382782137300382
E116 - 0.06668591699330872
E086 - 0.022214677774769487
E122 - 0.028057474015593775
E118 - 0.06089752092260159
E088 - 0.04343371310277189
E121 - 0.04713469538935933
E117 - 0.01945858436733683
E003 - 0.013249448608599224
E123 - 0.03428407117761689
