Pair: H3K4me1_H3K4me3
Median R2: E106 - 0.012531406667022127
Max R2: E062 - 0.17970700514342397
Min R2: E013 - 0.00024701857097741975
All R2 values:
E095 - 0.00046685749724018066
E108 - 0.0372340106023632
E078 - 0.024325893060933135
E086 - 0.009492671941455866
E008 - 0.0008791991416943201
E030 - 0.04906878613004928
E107 - 0.026198333012242947
E077 - 0.03455924862695736
E089 - 0.005885087933552802
E040 - 0.061185102622923315
E007 - 0.007479631156554922
E114 - 0.01602130175653338
E023 - 0.015161206705363028
E014 - 0.0043297730259839184
E123 - 0.02060149909479081
E053 - 0.012059633295713357
E118 - 0.00936267688567316
E068 - 0.025844997882539356
E096 - 0.009935553952839404
E018 - 0.004341164291336352
E085 - 0.0016843013524652228
E033 - 0.038795068906936514
E074 - 0.03117834153925425
E104 - 0.0005524167980857086
E043 - 0.023666641474337946
E004 - 0.008189844214665731
E117 - 0.015334894973511037
E067 - 0.030527774658976492
E020 - 0.00972702836028938
E099 - 0.01611609845156492
E017 - 0.0007016101432342214
E050 - 0.031610237588620804
E120 - 0.001590579605859399
E093 - 0.002894918128520607
E080 - 0.006170061184291531
E049 - 0.02288241467996399
E039 - 0.018117643917096915
E001 - 0.007158728099257439
E046 - 0.004175625640209568
E101 - 0.03504313728121167
E071 - 0.01788732562445361
E036 - 0.02244821706412936
E125 - 0.0164483700526733
E055 - 0.01764904608154194
E012 - 0.0017776580477933956
E025 - 0.006660496541024075
E062 - 0.17970700514342397
E112 - 0.006612689387698212
E090 - 0.0035792168213079067
E059 - 0.017533139301791567
E129 - 0.009738966813804706
E029 - 0.0020886526144562323
E083 - 0.060374481598770235
E002 - 0.0029942059344452154
E045 - 0.034375383985893126
E072 - 0.022016439317371073
E102 - 0.025212884570672722
E035 - 0.06650864922702637
E056 - 0.030633076045608942
E126 - 0.006642618014085944
E011 - 0.013256769797672763
E026 - 0.01397328580957069
E111 - 0.04242277477172074
E061 - 0.00927744464907354
E009 - 0.008219960604135768
E087 - 0.0012218480034684731
E079 - 0.003907680846646944
E109 - 0.008680025442077355
E094 - 0.011987513291832008
E015 - 0.0049912610203846075
E052 - 0.009677583864153072
E122 - 0.008066974675044802
E115 - 0.01716272932852192
E065 - 0.004317848554104664
E022 - 0.01614577654996452
E041 - 0.020935978094728247
E006 - 0.006483377213250541
E088 - 0.014748134594327333
E031 - 0.06969994810311475
E076 - 0.033077324265805674
E106 - 0.012531406667022127
E084 - 0.0010741223097454622
E019 - 0.0083635946752183
E097 - 0.00035708403598544436
E069 - 0.0245304733684778
E119 - 0.0036987931425830345
E016 - 0.0018920887645098583
E121 - 0.00712969426778487
E051 - 0.029315326193422808
E098 - 0.004449937042020347
E066 - 0.03498987277392518
E116 - 0.06763487824093051
E021 - 0.002972753680125284
E042 - 0.031738635278813376
E005 - 0.0038395617813136163
E032 - 0.0033019174687830555
E105 - 0.0073645609316035365
E075 - 0.04654029136435345
E038 - 0.037090386379593054
E048 - 0.06048718783781293
E081 - 0.013525127254907399
E092 - 0.0028942871486130617
E024 - 0.010356692197127426
E113 - 0.04415179243742129
E063 - 0.055177464656100184
E054 - 0.016010634749641484
E124 - 0.03238134031460549
E013 - 0.00024701857097741975
E070 - 0.020581633629005447
E100 - 0.0018934707659741257
E037 - 0.029813140556037565
E047 - 0.007968014610043483
E082 - 0.0187885203985102
E028 - 0.0014132721394654046
E128 - 0.00552962063178164
E058 - 0.009207385667950763
E091 - 0.007862131882406476
E027 - 0.004454643473250419
E110 - 0.0538173566424871
E127 - 0.014548588794767503
E057 - 0.008188551107195519
E010 - 0.01387403633611306
E103 - 0.019400392046206028
E073 - 0.028880852440895888
E034 - 0.007870946363622844
E003 - 0.0033163414917095624
E044 - 0.03246484374116343
