Pair: H3K9me3_H3K27ac
Median R2: E071 - 0.00016785695934817824
Max R2: E021 - 0.037079046964427764
Min R2: E092 - 6.691315723728053e-09
All R2 values:
E003 - 3.618042247977016e-05
E044 - 0.000305677739447785
E073 - 0.0008334339433936355
E103 - 1.4175773222158128e-05
E034 - 1.7836495278977793e-05
E127 - 0.0005111827550595693
E058 - 0.00024126130321688866
E128 - 0.0007595041357688626
E091 - 8.695643752720805e-06
E047 - 2.90911201561439e-06
E100 - 0.00014673787263530524
E037 - 8.344135739557501e-05
E124 - 0.0003591233331443622
E013 - 9.947549421929214e-05
E063 - 0.00026263599908649127
E113 - 0.0002420216928457064
E092 - 6.691315723728053e-09
E048 - 3.837967609721105e-06
E038 - 2.8384259165292747e-08
E032 - 3.0823812324221045e-05
E075 - 3.620590328656803e-06
E105 - 0.00011813430867357866
E042 - 8.195638633745617e-05
E005 - 0.0018141549774166599
E116 - 0.00014718338878594306
E066 - 0.0006863255152657066
E021 - 0.037079046964427764
E016 - 0.00022887469308374708
E121 - 0.0006153746041076547
E098 - 0.0038541396957177954
E119 - 0.00035191027734460256
E069 - 0.00013004788115678068
E019 - 0.0005816095885494699
E097 - 0.0015554765693953643
E084 - 1.2926496410936572e-05
E106 - 2.353195951099174e-06
E076 - 0.0006206125891448089
E041 - 6.347210167534367e-05
E006 - 0.000277635871048898
E065 - 1.6547025795121684e-05
E115 - 6.55226468881942e-05
E022 - 0.011106741944441834
E015 - 0.00034860141720061133
E122 - 0.00098760780015128
E094 - 0.005123335391357564
E109 - 0.0004015301000027671
E079 - 0.0002629975501785564
E087 - 2.4936443385747964e-06
E026 - 0.0007044238619497989
E061 - 7.289397484477877e-05
E111 - 1.6671433970438798e-05
E126 - 0.00010421885385492047
E056 - 7.378310835481905e-05
E011 - 9.062024084438569e-05
E102 - 0.0003567608946944967
E072 - 6.948939148654354e-05
E045 - 2.274258211099056e-05
E029 - 1.810463407270202e-05
E090 - 0.00019632277543357723
E129 - 0.0011715749549900956
E059 - 0.0327863791888664
E112 - 0.006426548059856874
E062 - 0.00018029169123801037
E055 - 0.00044525693905428376
E125 - 1.7362835930234688e-05
E012 - 6.61840030258265e-06
E071 - 0.00016785695934817824
E101 - 3.1568162015660484e-05
E046 - 4.352313869571134e-05
E039 - 3.0196136185489664e-05
E080 - 7.756342390818904e-05
E049 - 0.0009000870516397974
E093 - 0.0014911373946142614
E099 - 0.00013518580062010788
E017 - 0.00042825790763301175
E120 - 0.0011448817762630403
E050 - 8.723731488147202e-05
E067 - 0.000208500756028851
E117 - 2.4811756771270232e-05
E020 - 0.0008050505470290625
E043 - 1.4534604061866574e-05
E004 - 0.0010083242013715354
E104 - 6.756024553133955e-06
E074 - 4.1057892175011546e-07
E085 - 6.741449495095697e-05
E096 - 0.0033360417026745415
E068 - 7.356251620649346e-05
E118 - 0.0008454830982020933
E014 - 0.00018745055967939184
E123 - 0.00011286977386915087
E114 - 0.00021032319858349524
E089 - 0.00012976885378845893
E040 - 8.845966877446543e-05
E007 - 0.013109059756898245
E008 - 0.004600607435201964
E078 - 7.323061538166975e-06
E108 - 0.0002470930273062999
E095 - 0.00048563285153691016
