Pair: H3K27ac_H3K36me3
Median R2: E103 - 0.0013527888375752806
Max R2: E059 - 0.1003365240358387
Min R2: E029 - 4.895367696211572e-06
All R2 values:
E123 - 0.0013443540441123725
E014 - 3.934950214401489e-05
E114 - 0.010691283776008809
E089 - 9.982639042771524e-05
E007 - 0.02548201605232714
E040 - 0.0012843791732664034
E008 - 0.026473417195119975
E078 - 0.005905200325384108
E108 - 0.00023331397195358594
E095 - 0.0001007043692566878
E099 - 0.026653524425122588
E120 - 0.0013612709058528072
E050 - 0.0007437383504950157
E017 - 0.0014392904225162262
E020 - 0.003902788482891717
E067 - 0.010804167791343189
E117 - 9.739899001981467e-05
E004 - 0.0032435127301716493
E043 - 0.002344746864351044
E104 - 0.009638962921615368
E074 - 0.0058674604520196905
E085 - 0.0012663331490693208
E096 - 0.002162249482214218
E068 - 0.007453071617627094
E118 - 0.00038442698497398453
E112 - 0.007695655546346436
E062 - 0.007806367549170634
E012 - 0.0004926682424222228
E055 - 0.013800423568064657
E125 - 0.00025901128379479665
E071 - 0.004033293558079465
E101 - 0.0004878663433277586
E046 - 0.00018986525264796938
E039 - 0.015585859921276368
E080 - 0.00036892810489908
E049 - 0.0006870202252116098
E093 - 0.0008068143247546011
E061 - 0.004515177599824671
E111 - 0.002814356084936742
E026 - 5.0445711647473246e-05
E011 - 0.0008912288805769109
E126 - 0.001306070206270049
E056 - 0.023888936191269527
E102 - 0.000795388606821712
E072 - 0.012717212228865238
E045 - 0.0016233581113964668
E029 - 4.895367696211572e-06
E090 - 0.00012040041421879089
E129 - 0.0013999999535088126
E059 - 0.1003365240358387
E106 - 0.003519964483830962
E076 - 0.006691287965254866
E006 - 0.0005604352736342522
E041 - 0.007329069636820007
E022 - 0.03333759628320698
E065 - 0.0008615054801545119
E115 - 0.002761727751753651
E122 - 4.198517319653483e-05
E015 - 0.007926133457549445
E094 - 0.0030278864157179397
E109 - 0.00027137378230956966
E079 - 0.0016649880360002367
E087 - 0.0011417768686386998
E075 - 0.0008254545961188242
E105 - 0.003913145427590137
E032 - 0.00020527285952509633
E005 - 0.003392303436722033
E042 - 0.04392506210977565
E021 - 0.037242172886741476
E116 - 0.0008692710675317628
E066 - 4.42433042309176e-05
E121 - 0.0004866909259605423
E016 - 0.00047861427590378813
E098 - 0.003671168734440844
E119 - 0.00015778232626262323
E069 - 0.013381147785311964
E019 - 0.008837763054950876
E097 - 0.0031201574659209808
E084 - 3.0620886610210896e-05
E047 - 0.0004440045125609915
E037 - 0.0004659534900041118
E100 - 0.00011844496166968366
E013 - 0.00042946815056121856
E124 - 0.0005142723178143127
E063 - 0.0007835517096805855
E113 - 0.0006302865082851161
E092 - 0.0003399462806230602
E048 - 0.0010860200389921637
E038 - 0.0008869230419159546
E044 - 0.001796977648259146
E003 - 0.002489812039734307
E034 - 0.0007680505365625923
E073 - 0.019517467911486897
E103 - 0.0013527888375752806
E127 - 0.0021835351631800393
E058 - 0.0018374954783707542
E128 - 0.0008076244936038313
E091 - 0.0004486910752216078
