Pair: H3K36me3_H3K4me1
Median R2: E116 - 0.008845598560688672
Max R2: E022 - 0.15843108725182664
Min R2: E124 - 3.7284645827639906e-05
All R2 values:
E126 - 0.004502979292871578
E074 - 0.021817344315464227
E063 - 0.0025495421121900508
E121 - 0.008529893877308736
E073 - 0.04580414213346351
E054 - 0.010538513002349092
E043 - 0.004737859850375004
E111 - 0.025571266525797554
E106 - 0.028308927876643963
E053 - 0.004303168996478091
E044 - 0.011019691779026619
E116 - 0.008845598560688672
E101 - 0.0072120770174908255
E024 - 0.01280422450959462
E033 - 0.008772070553424216
E023 - 0.002986698548587574
E034 - 0.007451509993988137
E004 - 0.06707151760951402
E013 - 0.004127504940566351
E003 - 0.0048774138464707795
E014 - 0.001087647921331092
E110 - 0.028454553438798436
E107 - 0.01087625538465764
E055 - 0.03887043342790841
E042 - 0.009134335390452497
E117 - 0.006548312767117315
E100 - 0.02112277221351766
E052 - 0.0034628658920448085
E045 - 0.01332391161464086
E075 - 0.008679567932772914
E062 - 0.01921573433750967
E127 - 0.010723101784030686
E072 - 0.02710401345046365
E065 - 0.025321055832962402
E120 - 0.026059629390892347
E005 - 0.02636422646468739
E012 - 0.00031863291357925316
E002 - 0.013392071650232595
E015 - 0.00241804691747205
E025 - 0.003290921894279264
E032 - 0.0033317824326777323
E022 - 0.15843108725182664
E035 - 0.00223183881350153
E018 - 0.0004866489315353828
E008 - 0.025858945597321714
E090 - 0.005558832020989057
E087 - 0.00030673261642388816
E038 - 0.01601318550638231
E097 - 0.01873878334403767
E080 - 0.0024607396622969846
E028 - 0.010763911097346313
E048 - 0.02168278464733786
E058 - 0.0065723656271022834
E068 - 0.021202106993397085
E078 - 0.012660397947145574
E039 - 0.008083384973867402
E091 - 0.0030721011309021717
E086 - 0.035618372679937615
E029 - 8.838969538194075e-05
E096 - 0.024518599641256356
E081 - 0.0006429532362606238
E019 - 0.0011119591865667022
E009 - 0.0006158697457357976
E069 - 0.02572780606352343
E079 - 0.05533961689589395
E049 - 0.0030037292940668925
E059 - 0.15508137238571795
E094 - 0.06633519239728003
E083 - 0.003406383308114158
E093 - 0.007734676738304858
E084 - 0.003056725031659213
E129 - 0.003320835844274117
E109 - 0.011487255515236106
E119 - 0.003276213031153441
E095 - 0.02201779926324121
E082 - 0.008653889083381605
E092 - 0.002417346728300629
E085 - 0.012926096271522192
E108 - 0.01014514492911811
E118 - 0.005902844875553814
E128 - 0.013934070007932897
E050 - 0.0015387139624217783
E047 - 0.008159103991825734
E115 - 0.0014536970637810676
E102 - 0.008423270308217878
E057 - 0.012719156483801286
E040 - 0.017053191384623467
E112 - 0.014974593775540779
E105 - 0.06600102622177373
E122 - 0.0033474475049756203
E070 - 0.01064292913631748
E067 - 0.030725339362301596
E125 - 0.0049473517625930885
E077 - 0.007967330174042164
E017 - 0.010052724055451656
E007 - 0.06467807751600874
E010 - 0.0001496265530172014
E088 - 0.00388524975993243
E020 - 0.0032950841171318634
E037 - 0.012980635729074597
E098 - 0.04683535845898745
E027 - 0.013741184053327249
E030 - 0.0005666078690210741
E071 - 0.013707810094862105
E066 - 0.0012929013314343374
E123 - 0.01692868729946273
E076 - 0.014767586841556435
E061 - 0.007076733859855966
E124 - 3.7284645827639906e-05
E114 - 0.02443209674641611
E103 - 0.0084322686808459
E051 - 0.0007443064729041327
E046 - 0.0014149822738888096
E113 - 0.04250199187770465
E104 - 0.01997900903055516
E056 - 0.0834923671075034
E041 - 0.012986077320486733
E021 - 0.06515747961313523
E036 - 0.004221451293883405
E089 - 0.0033120686899423823
E026 - 0.002084271142849925
E031 - 0.000774706267596903
E099 - 0.017513322279722354
E001 - 0.011203331034876807
E016 - 0.0007795292411867383
E006 - 0.050080231968978595
E011 - 0.0083898919574672
